N	Axis1	Axis2	Axis3	Axis4	Axis5	color	text
94	-0.145832207	-0.086358889	0.050397817	-0.040727724	0.055430406	"#0d34f6"	cult
148	-0.14247152	-0.085890956	0.048397374	-0.042924149	0.053748807	"#0d34f6"	cult
438	-0.143541748	-0.083370277	0.048089408	-0.050193899	0.052659779	"#0d34f6"	cult
143	-0.148428549	-0.087062587	0.04883124	-0.052365106	0.056965288	"#0d34f6"	cult
32	-0.14576704	-0.080260122	0.050174009	-0.046933028	0.051901843	"#0d34f6"	cult
127	-0.141690555	-0.079243268	0.04561822	-0.047279969	0.048273484	"#0d34f6"	cult
203	-0.147075155	-0.08455781	0.050692146	-0.053993917	0.05644757	"#0d34f6"	cult
227	-0.149697362	-0.078326354	0.049960511	-0.043655642	0.050856461	"#0d34f6"	cult
196	-0.148794904	-0.083997024	0.050004605	-0.046208672	0.053118206	"#0d34f6"	cult
245	-0.14320139	-0.083059547	0.046775028	-0.049232619	0.057849357	"#0d34f6"	cult
147	-0.15928067	-0.089810089	0.053260933	-0.051794205	0.054432088	"#0d34f6"	cult
2726	-0.162410589	-0.08796259	0.053936953	-0.052015897	0.054487295	"#0d34f6"	cult
2724	-0.161773184	-0.088301119	0.053463609	-0.052862147	0.054744218	"#0d34f6"	cult
328	-0.160002773	-0.088404835	0.052592216	-0.051484659	0.054791799	"#0d34f6"	cult
2742	-0.162293008	-0.088088163	0.052720012	-0.051810025	0.05412943	"#0d34f6"	cult
2674	-0.161661006	-0.087835319	0.054403669	-0.050922818	0.054635303	"#0d34f6"	cult
2735	-0.161791494	-0.089271381	0.053734854	-0.051386128	0.054983927	"#0d34f6"	cult
2792	-0.16153606	-0.088190347	0.053934895	-0.051755791	0.054060123	"#0d34f6"	cult
2793	-0.162211832	-0.08925427	0.053292794	-0.052189046	0.054638974	"#0d34f6"	cult
2751	-0.195991618	-0.073430624	0.054524506	-0.011153976	0.032050574	"#0d34f6"	cult
2776	-0.195934172	-0.069536841	0.054727059	-0.013697311	0.030344633	"#0d34f6"	cult
2891	-0.173459231	-0.075854584	0.04382814	-0.014217103	0.044033413	"#0d34f6"	cult
2871	-0.198388542	-0.072914893	0.051713351	-0.019032251	0.037293068	"#0d34f6"	cult
2890	-0.196739391	-0.081525915	0.052206069	-0.016199791	0.038820856	"#0d34f6"	cult
2856	-0.19987472	-0.079782257	0.051521921	-0.01766111	0.036440979	"#0d34f6"	cult
2892	-0.198132579	-0.081132336	0.051966906	-0.015793029	0.038166747	"#0d34f6"	cult
2841	-0.200552118	-0.07872106	0.052225559	-0.017171444	0.037409208	"#0d34f6"	cult
2631	-0.203754439	-0.079521554	0.054447931	-0.017972915	0.036753975	"#0d34f6"	cult
2765	-0.203677999	-0.076239122	0.054492576	-0.018012133	0.035948823	"#0d34f6"	cult
2700	-0.202433764	-0.07929433	0.053952429	-0.017361027	0.037148512	"#0d34f6"	cult
419	-0.201162375	-0.081410826	0.05399054	-0.017797035	0.037769646	"#0d34f6"	cult
2795	-0.201806409	-0.079299201	0.054210167	-0.018110827	0.03692108	"#0d34f6"	cult
2699	-0.202960832	-0.080531243	0.052646239	-0.017787974	0.038867292	"#0d34f6"	cult
2694	-0.202527734	-0.07990869	0.054705333	-0.018129664	0.037453496	"#0d34f6"	cult
2815	-0.203547403	-0.081769197	0.053292821	-0.016598373	0.04055596	"#0d34f6"	cult
2755	-0.202688727	-0.080229557	0.053180212	-0.01708318	0.038470915	"#0d34f6"	cult
2774	-0.202575432	-0.080263385	0.053195529	-0.017947683	0.038727186	"#0d34f6"	cult
2779	-0.205083578	-0.080483204	0.054185112	-0.018366928	0.038722311	"#0d34f6"	cult
2807	-0.203840659	-0.080787913	0.054840391	-0.017596879	0.040016042	"#0d34f6"	cult
115	-0.16830146	-0.074641991	0.034485077	-0.000586391	0.032077488	"#0d34f6"	cult
73	-0.172937906	-0.082239036	0.037968252	-0.001645545	0.035698105	"#0d34f6"	cult
180	-0.172375662	-0.075316171	0.041978202	0.008382177	0.032583937	"#0d34f6"	cult
69	-0.17383433	-0.07954634	0.048881002	-0.011099884	0.040507813	"#0d34f6"	cult
297	-0.174913541	-0.081733565	0.049593767	-0.016167957	0.040969672	"#0d34f6"	cult
113	-0.196008646	-0.083039134	0.050008369	-0.000112318	0.035930203	"#0d34f6"	cult
2722	-0.194691219	-0.084852503	0.050884084	0.002857888	0.038411925	"#0d34f6"	cult
